,Neighborhood,Population per Sqmi,Latitude,Longitude
0,Acton,166,34.46815000000004,-118.19512999999995
1,Adams-Normandie,21848,34.07809005053511,-118.30119989733268
2,Agoura Hills,2495,34.14611000000008,-118.77811999999994
3,Agua Dulce,99,34.495700000000056,-118.32620999999995
4,Alhambra,11275,34.09370000000007,-118.12726999999995
5,Alondra Park,7548,33.88930000000005,-118.33060999999998
6,Altadena,4900,34.185560000000066,-118.13151999999997
7,Angeles Crest,3,34.31158946050125,-118.01113212565828
8,Arcadia,4749,34.13635000000005,-118.03866999999997
9,Arleta,10034,34.24905000000007,-118.43348999999995
10,Arlington Heights,21423,34.03989000000007,-118.32541999999995
11,Artesia,10036,33.861140000000034,-118.07967999999994
12,Athens,6829,33.930980000000034,-118.29206999999997
13,Atwater Village,8379,34.11970000000008,-118.25886999999994
14,Avalon,1159,33.34411000000006,-118.32138999999995
15,Avocado Heights,5907,34.03597000000008,-117.99057999999997
16,Azusa,4496,34.13361000000003,-117.90588999999994
17,Baldwin Hills/Crenshaw,10446,34.01043000000004,-118.33665999999994
18,Baldwin Park,11176,34.08536000000004,-117.96034999999995
19,Bel-Air,1207,34.08361000000008,-118.43482999999998
20,Bell,14357,33.97977000000003,-118.18884999999995
21,Bell Gardens,17762,33.96998000000008,-118.14901999999995
22,Bellflower,11756,33.883260000000064,-118.12228999999996
23,Beverly Crest,1318,34.09653268819107,-118.40329514585207
24,Beverly Grove,12990,34.09544836979449,-118.42608686997163
25,Beverly Hills,5933,34.07346000000007,-118.40031999999997
26,Beverlywood,7654,34.05138000000005,-118.40132999999997
27,Boyle Heights,14229,34.04004000000003,-118.21049999999997
28,Bradbury,658,34.14531000000005,-117.97093999999998
29,Brentwood,2059,34.06626000000006,-118.47032999999999
30,Broadway-Manchester,15060,33.960930000000076,-118.27881999999994
31,Burbank,5785,34.18182000000007,-118.30775999999997
32,Calabasas,1247,34.15778000000006,-118.63841999999994
33,Canoga Park,12240,34.20239000000004,-118.60155999999995
34,Carson,4676,33.83161000000007,-118.26208999999994
35,Carthay,9642,34.17639681534724,-118.22274327896007
36,Castaic,3076,34.49538000000007,-118.62483999999995
37,Castaic Canyons,40,34.70027257646744,-118.68293292364461
38,Central-Alameda,18760,33.997420000000034,-118.24777999999998
39,Century City,7869,34.05944000000005,-118.41280999999998
40,Cerritos,5851,33.868660000000034,-118.06369999999998
41,Charter Oak,9816,34.10659000000004,-117.85033999999996
42,Chatsworth,2301,34.257250000000056,-118.59100999999998
43,Chesterfield Square,9571,33.99251000000004,-118.31284999999997
44,Cheviot Hills,4520,34.03403000000003,-118.41055999999998
45,Chinatown,10568,34.062290000000075,-118.23836999999997
46,Citrus,11827,34.11501000000004,-117.89119
47,Claremont,2124,34.09641000000005,-117.71639999999996
48,Commerce,1912,34.001190000000065,-118.15493999999995
49,Compton,9199,33.89569000000006,-118.22435999999999
50,Covina,6701,34.08743000000004,-117.88990999999999
51,Cudahy,19697,33.95987000000002,-118.17636999999996
52,Culver City,7475,34.02161000000007,-118.39620999999994
53,Cypress Park,13478,34.09448000000003,-118.22677999999996
54,Del Aire,9132,33.91640000000007,-118.36712999999997
55,Del Rey,11420,33.99082000000004,-118.42061999999999
56,Desert View Highlands,5160,34.59132000000005,-118.15241999999995
57,Diamond Bar,3754,34.000860000000046,-117.82906999999994
58,Downey,8566,33.94077000000004,-118.12767999999994
59,Downtown,4770,34.04834000000005,-118.25563999999997
60,Duarte,3212,34.13961000000006,-117.97049999999996
61,Eagle Rock,7644,34.13927000000007,-118.21086999999994
62,East Compton,16542,33.89822000000004,-118.19459999999998
63,East Hollywood,31095,34.09086000000008,-118.29334999999998
64,East La Mirada,8506,33.92446000000007,-117.98894999999999
65,East Los Angeles,16863,34.03347000000008,-118.15908999999999
66,East Pasadena,4622,34.135320000000036,-118.07318999999995
67,East San Gabriel,10157,34.12197000000003,-118.07751999999999
68,Echo Park,16868,34.07609000000008,-118.25580999999994
69,El Monte,11995,34.07105000000007,-118.03093999999999
70,El Segundo,2925,33.920840000000055,-118.41596999999996
71,El Sereno,9826,34.076850000000036,-118.17933999999997
72,Elizabeth Lake,219,34.65967000000006,-118.37746999999996
73,Elysian Park,1538,34.08250000000004,-118.23319999999995
74,Elysian Valley,9354,34.071737626469016,-117.72165734418904
75,Encino,4411,34.16538000000003,-118.52711
76,Exposition Park,16819,34.01141000000007,-118.28996999999998
77,Fairfax,10122,34.076100000000054,-118.36121999999995
78,Florence,15661,33.97475000000003,-118.24538999999999
79,Florence-Firestone,16805,33.974750062439014,-118.24993209288716
80,Gardena,9894,33.88379000000003,-118.30701999999997
81,Glassell Park,8524,34.11922000000004,-118.23043999999999
82,Glendale,6368,34.146330000000034,-118.24863999999997
83,Glendora,2568,34.13602000000003,-117.86451999999997
84,Gramercy Park,8859,34.033900000000074,-118.31257999999997
85,Granada Hills,3344,34.26394000000005,-118.49793999999997
86,Green Meadows,12785,33.81227164477179,-118.30836719294864
87,Green Valley,290,34.61733000000004,-118.40878999999995
88,Hacienda Heights,4503,33.99413000000004,-117.97251999999997
89,Hancock Park,6459,34.06892000000005,-118.33254999999997
90,Harbor City,9127,33.79781000000003,-118.30247999999995
91,Harbor Gateway,7720,33.85418427760469,-118.3034797353442
92,Harvard Heights,23473,34.043390000000045,-118.30902999999995
93,Harvard Park,16072,34.144400000000076,-118.25296999999995
94,Hasley Canyon,136,34.47184000000004,-118.66037999999998
95,Hawaiian Gardens,15141,33.830820000000074,-118.08183999999994
96,Hawthorne,13848,33.918220000000076,-118.35272999999995
97,Hermosa Beach,12481,33.864040000000045,-118.39534999999995
98,Hidden Hills,1100,34.15918000000005,-118.64024999999998
99,Highland Park,16835,34.10982000000007,-118.19231999999994
100,Historic South-Central,19474,34.01979000000006,-118.25727999999998
101,Hollywood,22193,34.10156000000006,-118.33707999999996
102,Hollywood Hills,3063,34.10524000000004,-118.32064999999994
103,Hollywood Hills West,3048,34.120060000000024,-118.35089999999997
104,Huntington Park,20223,33.981430000000046,-118.21913999999998
105,Hyde Park,12700,33.989040000000045,-118.32669999999996
106,Industry,82,34.023360000000025,-117.95660999999996
107,Inglewood,12330,33.96178000000003,-118.35652999999996
108,Irwindale,154,34.10514000000006,-117.93376999999998
109,Jefferson Park,16300,34.03264000000007,-118.31801999999999
110,Koreatown,42611,34.05779000000007,-118.30090999999999
111,La Cañada Flintridge,2369,34.20766000000003,-118.20724999999999
112,La Crescenta-Montrose,5401,34.229070000000036,-118.23989999999998
113,La Habra Heights,979,33.94813000000005,-117.96482999999995
114,La Mirada,5966,33.90853000000004,-118.01172999999994
115,La Puente,11761,34.02012000000008,-117.95039999999995
116,La Verne,3863,34.113000000000056,-117.76527999999996
117,Ladera Heights,2214,33.994020000000035,-118.37398999999999
118,Lake Balboa,7754,34.207160000000044,-118.50113999999996
119,Lake Hughes,61,34.67868000000004,-118.45219999999995
120,Lake Los Angeles,1601,34.606130000000064,-117.82445999999999
121,Lake View Terrace,2790,34.27453000000003,-118.37349999999998
122,Lakewood,8348,33.850010000000054,-118.13383999999996
123,Lancaster,1180,34.69890000000004,-118.14477999999997
124,Larchmont,17747,34.08099000000004,-118.32364999999999
125,Lawndale,16119,33.89862000000005,-118.35384999999997
126,Leimert Park,9880,34.008380000000045,-118.33044999999998
127,Lennox,21557,33.93819000000008,-118.35092999999995
128,Leona Valley,90,34.61793000000006,-118.28835999999995
129,Lincoln Heights,10602,34.069830000000024,-118.21163999999999
130,Littlerock,766,34.521060000000034,-117.99271999999996
131,Lomita,10424,33.80528000000004,-118.31989999999996
132,Long Beach,8882,33.76672000000008,-118.19239999999996
133,Lopez/Kagel Canyons,195,34.27519071589921,-118.38790628725796
134,Los Feliz,13512,34.10541000000006,-118.28923999999995
135,Lynwood,14264,33.92783000000003,-118.19926999999996
136,Malibu,629,34.03652000000005,-118.68795999999998
137,Manchester Square,11449,34.563475158387824,-118.0504534517424
138,Manhattan Beach,8573,33.887200000000064,-118.41085999999996
139,Mar Vista,12259,34.004680000000064,-118.42912999999999
140,Marina del Rey,5706,33.985280000000046,-118.45237999999995
141,Mayflower Village,9585,34.11504000000008,-118.00915999999995
142,Maywood,23638,33.98757000000006,-118.18980999999997
143,Mid-City,15051,34.040170000000046,-118.34762999999998
144,Mid-Wilshire,14988,34.06326000000007,-118.29307999999997
145,Mission Hills,5721,34.27397000000008,-118.46782999999999
