,Neighborhood,Amount
0,Acton,1647.5
1,Adams-Normandie,920.74
2,Agoura Hills,2052.5
3,Agua Dulce,1130.2
4,Alhambra,1205.56
5,Alondra Park,1667.14
6,Altadena,1458.32
7,Angeles Crest,1194.43
8,Arcadia,1375.32
9,Arleta,1550.45
10,Arlington Heights,993.79
11,Artesia,1400.33
12,Athens,953.57
13,Atwater Village,1258.81
14,Avalon,1263.0
15,Avocado Heights,1369.43
16,Azusa,1255.84
17,Baldwin Hills/Crenshaw,1000.1
18,Baldwin Park,1208.0
19,Bel-Air,1885.29
20,Bell,1002.35
21,Bell Gardens,1085.76
22,Bellflower,1178.88
23,Beverly Crest,1845.95
24,Beverly Grove,1667.62
25,Beverly Hills,1938.82
26,Beverlywood,2316.14
27,Boyle Heights,947.63
28,Bradbury,2166.43
29,Brentwood,1949.71
30,Broadway-Manchester,1168.03
31,Burbank,1431.81
32,Calabasas,2061.19
33,Canoga Park,1250.23
34,Carson,1413.74
35,Carthay,1653.64
36,Castaic,2132.4
37,Castaic Canyons,1547.71
38,Central-Alameda,939.03
39,Century City,2133.71
40,Cerritos,1983.16
41,Charter Oak,1382.29
42,Chatsworth,1727.49
43,Chatsworth Reservoir,1743.29
44,Chesterfield Square,1043.19
45,Cheviot Hills,1991.43
46,Chinatown,1115.54
47,Citrus,1216.1
48,Claremont,1399.68
49,Commerce,915.95
50,Compton,1048.96
51,Covina,1338.54
52,Cudahy,1114.48
53,Culver City,1473.73
54,Cypress Park,1021.1
55,Del Aire,1198.43
56,Del Rey,1478.16
57,Diamond Bar,1796.92
58,Downey,1259.0
59,Downtown,1069.71
60,Duarte,1247.86
61,Eagle Rock,1224.43
62,East Compton,1120.43
63,East Hollywood,981.9
64,East La Mirada,1200.21
65,East Los Angeles,967.84
66,East Pasadena,1297.86
67,East San Gabriel,1439.54
68,Echo Park,1116.44
69,El Monte,1096.7
70,El Segundo,1514.61
71,El Sereno,1046.92
72,Elizabeth Lake,1194.0
73,Elysian Park,810.54
74,Elysian Valley,1115.9
75,Encino,1677.13
76,Exposition Park,990.98
77,Fairfax,1660.25
78,Florence,1002.35
79,Florence-Firestone,949.58
80,Gardena,1121.79
81,Glassell Park,1118.39
82,Glendale,1404.44
83,Glendora,1552.68
84,Gramercy Park,1033.43
85,Granada Hills,1818.31
86,Green Meadows,1052.82
87,Griffith Park,1833.0
88,Hacienda Heights,1678.58
89,Hancock Park,1779.33
90,Hansen Dam,
91,Harbor City,1143.55
92,Harbor Gateway,1017.23
93,Harvard Heights,968.24
94,Harvard Park,709.43
