,Neighborhood,Amount,Population per Sqmi,Latitude,Longitude
0,Acton,1647.5,166,34.46815000000004,-118.19512999999996
1,Adams-Normandie,920.74,21848,34.07809005053511,-118.3011998973327
2,Agoura Hills,2052.5,2495,34.14611000000008,-118.77811999999994
3,Agua Dulce,1130.2,99,34.49570000000005,-118.32620999999996
4,Alhambra,1205.56,11275,34.09370000000007,-118.12726999999997
5,Alondra Park,1667.14,7548,33.889300000000055,-118.33060999999998
6,Altadena,1458.32,4900,34.185560000000066,-118.13151999999997
7,Angeles Crest,1194.43,3,34.31158946050125,-118.01113212565828
8,Arcadia,1375.32,4749,34.13635000000005,-118.03866999999997
9,Arleta,1550.45,10034,34.249050000000075,-118.43348999999996
10,Arlington Heights,993.79,21423,34.03989000000007,-118.32541999999997
11,Artesia,1400.33,10036,33.861140000000034,-118.07967999999994
12,Athens,953.57,6829,33.930980000000034,-118.29206999999997
13,Atwater Village,1258.81,8379,34.11970000000007,-118.25886999999994
14,Avalon,1263.0,1159,33.34411000000006,-118.32138999999997
15,Avocado Heights,1369.43,5907,34.03597000000008,-117.99057999999997
16,Azusa,1255.84,4496,34.13361000000003,-117.90588999999994
17,Baldwin Hills/Crenshaw,1000.1,10446,34.010430000000035,-118.33665999999994
18,Baldwin Park,1208.0,11176,34.08536000000004,-117.96034999999996
19,Bel-Air,1885.29,1207,34.08361000000008,-118.43482999999998
20,Bell,1002.35,14357,33.97977000000003,-118.18884999999996
21,Bell Gardens,1085.76,17762,33.96998000000008,-118.14901999999996
22,Bellflower,1178.88,11756,33.883260000000064,-118.12228999999996
23,Beverly Crest,1845.95,1318,34.09653268819107,-118.40329514585207
24,Beverly Grove,1667.62,12990,34.09544836979449,-118.42608686997164
25,Beverly Hills,1938.82,5933,34.07346000000007,-118.40031999999997
26,Beverlywood,2316.14,7654,34.05138000000005,-118.40132999999996
27,Boyle Heights,947.63,14229,34.04004000000003,-118.21049999999997
28,Bradbury,2166.43,658,34.14531000000005,-117.97093999999998
29,Brentwood,1949.71,2059,34.06626000000006,-118.47033
30,Broadway-Manchester,1168.03,15060,33.960930000000076,-118.27881999999994
31,Burbank,1431.81,5785,34.18182000000007,-118.30775999999996
32,Calabasas,2061.19,1247,34.15778000000006,-118.63841999999994
33,Canoga Park,1250.23,12240,34.20239000000004,-118.60155999999996
34,Carson,1413.74,4676,33.83161000000007,-118.26208999999994
35,Carthay,1653.64,9642,34.17639681534724,-118.22274327896008
36,Castaic,2132.4,3076,34.49538000000007,-118.62483999999996
37,Castaic Canyons,1547.71,40,34.70027257646744,-118.6829329236446
38,Central-Alameda,939.03,18760,33.997420000000034,-118.24777999999998
39,Century City,2133.71,7869,34.05944000000005,-118.41280999999998
40,Cerritos,1983.16,5851,33.868660000000034,-118.06369999999998
41,Charter Oak,1382.29,9816,34.10659000000004,-117.85033999999996
42,Chatsworth,1727.49,2301,34.257250000000056,-118.59100999999998
43,Chesterfield Square,1043.19,9571,33.99251000000004,-118.31284999999995
44,Cheviot Hills,1991.43,4520,34.03403000000004,-118.41055999999998
45,Chinatown,1115.54,10568,34.062290000000075,-118.23836999999996
46,Citrus,1216.1,11827,34.11501000000004,-117.89119
47,Claremont,1399.68,2124,34.096410000000056,-117.71639999999996
48,Commerce,915.95,1912,34.001190000000065,-118.15493999999997
49,Compton,1048.96,9199,33.89569000000006,-118.22436
50,Covina,1338.54,6701,34.08743000000004,-117.88991
51,Cudahy,1114.48,19697,33.959870000000016,-118.17636999999996
52,Culver City,1473.73,7475,34.021610000000074,-118.39620999999994
53,Cypress Park,1021.1,13478,34.09448000000003,-118.22677999999996
54,Del Aire,1198.43,9132,33.916400000000074,-118.36712999999996
55,Del Rey,1478.16,11420,33.990820000000035,-118.42062
56,Diamond Bar,1796.92,3754,34.00086000000005,-117.82906999999994
57,Downey,1259.0,8566,33.940770000000036,-118.12767999999994
58,Downtown,1069.71,4770,34.04834000000005,-118.25563999999996
59,Duarte,1247.86,3212,34.139610000000054,-117.97049999999996
60,Eagle Rock,1224.43,7644,34.139270000000074,-118.21086999999994
61,East Compton,1120.43,16542,33.89822000000004,-118.19459999999998
62,East Hollywood,981.9,31095,34.09086000000008,-118.29334999999998
63,East La Mirada,1200.21,8506,33.924460000000074,-117.98895
64,East Los Angeles,967.84,16863,34.03347000000008,-118.15909
65,East Pasadena,1297.86,4622,34.135320000000036,-118.07318999999997
66,East San Gabriel,1439.54,10157,34.12197000000003,-118.07752
67,Echo Park,1116.44,16868,34.07609000000008,-118.25580999999994
68,El Monte,1096.7,11995,34.07105000000007,-118.03094
69,El Segundo,1514.61,2925,33.920840000000055,-118.41596999999996
70,El Sereno,1046.92,9826,34.076850000000036,-118.17933999999997
71,Elizabeth Lake,1194.0,219,34.659670000000055,-118.37746999999996
72,Elysian Park,810.54,1538,34.08250000000004,-118.23319999999997
73,Elysian Valley,1115.9,9354,34.071737626469016,-117.72165734418905
74,Encino,1677.13,4411,34.165380000000034,-118.52711000000001
75,Exposition Park,990.98,16819,34.01141000000007,-118.28996999999998
76,Fairfax,1660.25,10122,34.076100000000054,-118.36121999999996
77,Florence,1002.35,15661,33.974750000000036,-118.24539
78,Florence-Firestone,949.58,16805,33.974750062439014,-118.24993209288715
79,Gardena,1121.79,9894,33.88379000000003,-118.30701999999997
80,Glassell Park,1118.39,8524,34.11922000000004,-118.23044
81,Glendale,1404.44,6368,34.146330000000034,-118.24863999999997
82,Glendora,1552.68,2568,34.13602000000003,-117.86451999999996
83,Gramercy Park,1033.43,8859,34.033900000000074,-118.31257999999997
84,Granada Hills,1818.31,3344,34.263940000000055,-118.49793999999996
85,Green Meadows,1052.82,12785,33.81227164477179,-118.30836719294865
86,Hacienda Heights,1678.58,4503,33.99413000000004,-117.97251999999996
87,Hancock Park,1779.33,6459,34.068920000000055,-118.33254999999996
88,Harbor City,1143.55,9127,33.797810000000034,-118.30247999999996
89,Harbor Gateway,1017.23,7720,33.85418427760469,-118.3034797353442
90,Harvard Heights,968.24,23473,34.043390000000045,-118.30902999999996
91,Harvard Park,709.43,16072,34.144400000000076,-118.25296999999996
92,Hawaiian Gardens,1185.21,15141,33.830820000000074,-118.08183999999994
93,Hawthorne,1145.48,13848,33.918220000000076,-118.35272999999997
94,Hermosa Beach,1877.63,12481,33.864040000000045,-118.39534999999997
95,Hidden Hills,1822.57,1100,34.15918000000005,-118.64024999999998
96,Highland Park,1119.43,16835,34.10982000000007,-118.19231999999994
97,Historic South-Central,920.21,19474,34.01979000000006,-118.25727999999998
98,Hollywood,1143.37,22193,34.101560000000056,-118.33707999999996
99,Hollywood Hills,1546.83,3063,34.10524000000004,-118.32064999999994
100,Hollywood Hills West,1871.54,3048,34.120060000000024,-118.35089999999997
101,Huntington Park,943.74,20223,33.98143000000005,-118.21913999999998
102,Hyde Park,1044.77,12700,33.989040000000045,-118.32669999999996
103,Industry,1600.12,82,34.023360000000025,-117.95660999999996
104,Inglewood,1124.94,12330,33.96178000000003,-118.35652999999996
105,Irwindale,1196.29,154,34.105140000000056,-117.93376999999998
106,Jefferson Park,967.52,16300,34.03264000000007,-118.31802
107,Koreatown,1011.59,42611,34.05779000000007,-118.30091
108,La Crescenta-Montrose,1656.54,5401,34.229070000000036,-118.23989999999998
109,La Habra Heights,2001.33,979,33.948130000000056,-117.96482999999996
110,La Mirada,1543.24,5966,33.90853000000004,-118.01172999999994
111,La Puente,1195.12,11761,34.02012000000008,-117.95039999999996
112,La Verne,1566.84,3863,34.11300000000005,-117.76527999999996
113,Ladera Heights,1637.68,2214,33.994020000000035,-118.37399
114,Lake Balboa,1544.86,7754,34.207160000000044,-118.50113999999996
115,Lake Los Angeles,1154.71,1601,34.606130000000064,-117.82446
116,Lake View Terrace,1205.0,2790,34.274530000000034,-118.37349999999998
117,Lakewood,1555.82,8348,33.850010000000054,-118.13383999999996
118,Lancaster,1151.75,1180,34.69890000000004,-118.14477999999997
119,Larchmont,1196.57,17747,34.080990000000035,-118.32365
120,Lawndale,1324.71,16119,33.89862000000005,-118.35384999999997
121,Leimert Park,1025.57,9880,34.008380000000045,-118.33044999999998
122,Lennox,977.69,21557,33.93819000000008,-118.35092999999996
123,Leona Valley,2024.0,90,34.61793000000006,-118.28835999999997
124,Lincoln Heights,945.12,10602,34.069830000000024,-118.21164
125,Lomita,1268.86,10424,33.80528000000004,-118.31989999999996
126,Long Beach,1210.17,8882,33.76672000000008,-118.19239999999996
127,Lopez/Kagel Canyons,1300.29,195,34.27519071589921,-118.38790628725796
128,Los Feliz,1364.26,13512,34.105410000000056,-118.28923999999996
129,Lynwood,1065.6,14264,33.927830000000036,-118.19926999999996
130,Malibu,2326.57,629,34.03652000000005,-118.68795999999998
131,Manchester Square,1061.0,11449,34.563475158387824,-118.0504534517424
132,Manhattan Beach,1989.07,8573,33.887200000000064,-118.41085999999996
133,Mar Vista,1459.44,12259,34.004680000000064,-118.42913
134,Marina del Rey,2137.57,5706,33.98528000000005,-118.45237999999996
135,Mayflower Village,1520.29,9585,34.11504000000008,-118.00915999999997
136,Maywood,976.51,23638,33.987570000000055,-118.18980999999997
137,Mid-City,1180.46,15051,34.04017000000005,-118.34762999999998
138,Mid-Wilshire,1567.0,14988,34.06326000000007,-118.29307999999996
139,Mission Hills,1337.37,5721,34.27397000000008,-118.46783
140,Monrovia,1416.07,2643,34.147830000000056,-117.99877999999997
141,Montebello,1185.15,7329,34.01959000000005,-118.11642999999998
142,Montecito Heights,1129.06,6959,34.091980000000035,-118.20100999999994
143,Monterey Park,1132.05,7823,34.05979000000008,-118.12650999999994
144,Mount Washington,1197.82,6878,34.09904000000006,-118.21133999999996
145,North Hills,1373.36,10003,34.23563000000007,-118.48469999999998
146,North Hollywood,1144.36,13264,34.16982000000007,-118.37899
147,North Whittier,1560.57,797,34.02106373447373,-118.03278679906565
148,Northeast Antelope Valley,1086.57,10,34.4003247684866,-118.45925606884892
149,Northridge,1435.61,6080,34.235040000000026,-118.53385999999996
150,Northwest Antelope Valley,1494.43,16,34.4003247684866,-118.45925606884892
151,Northwest Palmdale,1304.43,540,33.868259054165,-118.26344777857021
152,Norwalk,1378.67,10572,33.916810000000055,-118.07251999999994
153,Pacific Palisades,2135.88,1048,34.04710000000006,-118.52687999999996
154,Pacoima,1233.52,10510,34.26108000000005,-118.42897999999997
155,Palmdale,1320.73,874,34.579360000000065,-118.11658999999996
156,Palms,1390.23,21870,34.01986000000005,-118.42095999999998
157,Palos Verdes Estates,2256.38,2822,33.80003000000005,-118.39186999999998
158,Panorama City,1162.77,18028,34.223020000000076,-118.44874999999996
159,Paramount,1171.94,11395,33.88516000000004,-118.16139999999996
160,Pasadena,1467.54,5366,34.14745000000005,-118.14426999999996
161,Pico Rivera,1296.08,7187,33.982420000000054,-118.08799
162,Pico-Robertson,1615.98,17468,34.05575000000005,-118.37999999999994
163,Pico-Union,839.88,25352,34.04004000000003,-118.28554999999994
164,Playa Vista,1679.64,1859,33.97395000000006,-118.43037999999996
165,Playa del Rey,1914.57,3542,33.95924000000008,-118.44800999999997
166,Pomona,1223.94,6556,34.05499000000003,-117.75003999999996
167,Porter Ranch,2179.35,4462,34.28027000000003,-118.56129999999996
168,Quartz Hill,1191.79,2475,34.647250000000035,-118.21844999999996
169,Ramona,1776.14,1122,34.030580000000036,-118.27365999999996
170,Rancho Dominguez,1135.29,947,33.85761000000008,-118.21594
171,Rancho Palos Verdes,2170.0,3084,33.74526000000003,-118.40377999999998
172,Rancho Park,1643.29,7169,34.045070000000074,-118.41923999999996
173,Redondo Beach,1688.6,10129,33.84445000000005,-118.38793999999996
174,Reseda,1317.25,10600,34.19384000000008,-118.54753999999996
175,Ridge Route,1174.0,7,34.74104479380456,-118.70979354455194
176,Rolling Hills,2076.33,893,33.776090000000075,-118.34398999999996
177,Rolling Hills Estates,1816.22,2185,33.78359000000006,-118.35376999999994
178,Rosemead,1206.18,10332,34.08075000000007,-118.07561999999996
179,Rowland Heights,1671.64,3604,33.988470000000056,-117.90538999999997
180,San Dimas,1720.27,2244,34.10668000000004,-117.80298
181,San Fernando,1246.71,9856,34.284060000000075,-118.43843999999996
182,San Gabriel,1324.49,9433,34.097230000000025,-118.10841999999997
183,San Marino,2332.38,3428,34.12208000000004,-118.10520999999994
184,San Pasqual,1345.79,8036,34.13781000000006,-118.10069999999996
185,San Pedro,1267.88,6640,33.737870000000036,-118.28461
186,Santa Clarita,1627.21,2745,34.41387000000003,-118.55120999999995
187,Santa Fe Springs,1316.33,2014,33.94649000000004,-118.08383999999997
188,Santa Monica,1560.74,9817,34.01158000000004,-118.49226999999996
189,Sawtelle,1536.46,13319,34.03057000000007,-118.46340999999997
190,Shadow Hills,1708.64,1023,34.26273000000003,-118.35078
191,Sherman Oaks,1520.26,6687,34.15106000000004,-118.44433999999997
192,Sierra Madre,1646.57,3563,34.16187000000008,-118.05715999999997
193,Signal Hill,1070.0,4171,33.79677000000004,-118.16769999999997
194,Silver Lake,1252.57,11266,34.082730000000026,-118.27306999999996
195,South El Monte,1092.38,7150,34.046440000000075,-118.04325999999998
196,South Gate,1004.08,12945,33.957220000000056,-118.20563
197,South Park,966.27,21638,33.997400000000034,-118.26957
198,South Pasadena,1426.63,7114,34.115820000000035,-118.15175999999997
199,South San Gabriel,1075.76,5708,34.06251000000003,-118.09034999999994
200,South San Jose Hills,1386.11,13646,34.012650000000065,-117.90454999999996
201,South Whittier,1309.31,10291,33.937220000000025,-118.03173999999996
202,Southeast Antelope Valley,1347.1,27,34.4003247684866,-118.45925606884892
203,Stevenson Ranch,2104.86,2765,34.390010000000075,-118.57888999999994
204,Studio City,1616.94,5395,34.14453000000003,-118.39560999999998
205,Sun Valley,1223.37,8048,34.21547000000004,-118.37033999999994
206,Sunland,1437.62,3825,34.259690000000035,-118.31423999999998
207,Sylmar,1427.9,5579,34.310200000000066,-118.45307999999994
208,Tarzana,1592.24,4038,34.175290000000075,-118.5501
209,Temple City,1383.08,8366,34.10728000000006,-118.05667999999996
210,Toluca Lake,1448.81,6393,34.152190000000076,-118.34921999999996
211,Topanga,2089.0,386,34.09719000000007,-118.60042
212,Torrance,1548.62,6701,33.83705000000003,-118.34311999999994
213,Tujunga,1324.76,2649,34.25183000000004,-118.29096999999996
214,Tujunga Canyons,1767.22,11,34.25022925531181,-118.288618691942
215,Unincorporated Catalina Island,835.43,2,34.16022438185897,-118.79277367074239
216,Unincorporated Santa Monica Mountains,2100.02,100,34.104050000000036,-118.71103999999997
217,Unincorporated Santa Susana Mountains,1692.29,58,34.390000000000036,-118.59369999999996
218,University Park,1191.35,20217,34.02819000000005,-118.28396999999997
219,Valinda,1300.67,10748,34.045240000000035,-117.94236999999998
220,Valley Glen,1139.71,12325,34.187110000000075,-118.41380999999996
