,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Acton,34.46815000000004,-118.19512999999995,Acton Market & Country Store,34.468595,-118.197626,Grocery Store
1,Acton,34.46815000000004,-118.19512999999995,Fox Hay Feed and Grain,34.469565,-118.195481,Pet Store
2,Acton,34.46815000000004,-118.19512999999995,Powell Plumbing,34.468053064567655,-118.19619655609131,Home Service
3,Acton,34.46815000000004,-118.19512999999995,Acton Market,34.467628479003906,-118.19589233398438,Grocery Store
4,Acton,34.46815000000004,-118.19512999999995,Specialty Truss,34.471011,-118.19270300000001,Construction & Landscaping
5,Acton,34.46815000000004,-118.19512999999995,specialty truss,34.47089767456055,-118.19230651855469,Construction & Landscaping
6,Acton,34.46815000000004,-118.19512999999995,Acton Community Park,34.471104,-118.1993,Park
7,Acton,34.46815000000004,-118.19512999999995,Acton Park,34.471999,-118.199165,Park
8,Acton,34.46815000000004,-118.19512999999995,Wolf Connection,34.47164320906179,-118.18810334858262,Nature Preserve
9,Adams-Normandie,34.07809005053511,-118.30119989733268,Noshi Sushi,34.07615937842398,-118.30537393699632,Sushi Restaurant
10,Adams-Normandie,34.07809005053511,-118.30119989733268,Jaraguá,34.07636413248048,-118.30664643469693,Cocktail Bar
11,Adams-Normandie,34.07809005053511,-118.30119989733268,Cactus Mexican Food,34.076194025419746,-118.30414738836313,Mexican Restaurant
12,Adams-Normandie,34.07809005053511,-118.30119989733268,Atlacatl Restaurant,34.076502605716406,-118.2947072734834,Latin American Restaurant
13,Adams-Normandie,34.07809005053511,-118.30119989733268,Guatemalteca Bakery,34.07630330516787,-118.29716769230474,Restaurant
14,Adams-Normandie,34.07809005053511,-118.30119989733268,Beverly Hot Springs Spa & Skin Care Clinic,34.07676226935871,-118.3077191137412,Spa
15,Adams-Normandie,34.07809005053511,-118.30119989733268,Kim Sun Young Hair Beauty Salon (Kim Sun Young Salon),34.076452505923996,-118.3089208047359,Salon / Barbershop
16,Adams-Normandie,34.07809005053511,-118.30119989733268,Hills Beauty Club,34.075179857916815,-118.30928170837889,Health & Beauty Service
17,Adams-Normandie,34.07809005053511,-118.30119989733268,Lab Coffee and Roasters,34.07894186256489,-118.30956206978976,Coffee Shop
18,Adams-Normandie,34.07809005053511,-118.30119989733268,Panaderia El Salvador,34.07535809965597,-118.29584550419206,Bakery
19,Adams-Normandie,34.07809005053511,-118.30119989733268,Khun Dom,34.08362789204992,-118.3025486826886,Thai Restaurant
20,Adams-Normandie,34.07809005053511,-118.30119989733268,the copper still,34.07637852451503,-118.30655608594233,Cocktail Bar
21,Adams-Normandie,34.07809005053511,-118.30119989733268,Paris Baguette Cafe,34.073847390858326,-118.30930506987801,Bakery
22,Adams-Normandie,34.07809005053511,-118.30119989733268,SPL Coffee,34.06913935648008,-118.30217994482383,Coffee Shop
23,Adams-Normandie,34.07809005053511,-118.30119989733268,Prael,34.08345685067606,-118.30113408143022,Thai Restaurant
24,Adams-Normandie,34.07809005053511,-118.30119989733268,Cuties Coffee,34.084010339007946,-118.29480578339408,Coffee Shop
25,Adams-Normandie,34.07809005053511,-118.30119989733268,Burgerim,34.08358819948554,-118.30929690725615,Burger Joint
26,Adams-Normandie,34.07809005053511,-118.30119989733268,Isaan Station,34.07406757278049,-118.30934033672416,Thai Restaurant
27,Adams-Normandie,34.07809005053511,-118.30119989733268,Western Doma Noodle,34.07912516961761,-118.30952895603421,Noodle House
28,Adams-Normandie,34.07809005053511,-118.30119989733268,Pizza Hut,34.076660417155594,-118.30073199702838,Pizza Place
29,Adams-Normandie,34.07809005053511,-118.30119989733268,Wa Sada 와싸다 (Wa Sada),34.07793978570324,-118.3092081034416,Japanese Restaurant
30,Adams-Normandie,34.07809005053511,-118.30119989733268,The Bun Shop,34.074566072579074,-118.30929865180477,Dumpling Restaurant
31,Adams-Normandie,34.07809005053511,-118.30119989733268,Han Kook Supermarket,34.07395658413446,-118.30890222823906,Supermarket
32,Adams-Normandie,34.07809005053511,-118.30119989733268,Faultline,34.08337420417801,-118.29242879525023,Gay Bar
33,Adams-Normandie,34.07809005053511,-118.30119989733268,Jollibee,34.076584517682925,-118.29295019381152,Fast Food Restaurant
34,Adams-Normandie,34.07809005053511,-118.30119989733268,The Faculty,34.083952102754665,-118.29510474829844,American Restaurant
35,Adams-Normandie,34.07809005053511,-118.30119989733268,Jenette Bras,34.083403999999994,-118.29449299999999,Lingerie Store
36,Adams-Normandie,34.07809005053511,-118.30119989733268,Balcony Coffee and Tea,34.076596618122174,-118.30911928630813,Coffee Shop
37,Adams-Normandie,34.07809005053511,-118.30119989733268,Gonjiam,34.07665,-118.3111,Korean Restaurant
38,Adams-Normandie,34.07809005053511,-118.30119989733268,7-Eleven,34.0764965013787,-118.300976893033,Convenience Store
39,Adams-Normandie,34.07809005053511,-118.30119989733268,Castle Korean BBQ,34.079882054086646,-118.30948689770389,Korean Restaurant
40,Adams-Normandie,34.07809005053511,-118.30119989733268,Jae Bu Do (제부도) (Jae Bu Do),34.079631238747716,-118.3089918198905,Seafood Restaurant
41,Adams-Normandie,34.07809005053511,-118.30119989733268,Mok Maru Jong Sul Jip,34.07566003096283,-118.30890764128894,Bar
42,Adams-Normandie,34.07809005053511,-118.30119989733268,The Shrimp Lover,34.083463676081834,-118.3051569498975,Seafood Restaurant
43,Adams-Normandie,34.07809005053511,-118.30119989733268,Sacred Fools Theatre Company,34.083211,-118.295153,Theater
44,Adams-Normandie,34.07809005053511,-118.30119989733268,Mesón Cafe,34.07971798235727,-118.30919489460612,Café
45,Adams-Normandie,34.07809005053511,-118.30119989733268,KFC,34.07742778866379,-118.30896546908684,Fried Chicken Joint
46,Adams-Normandie,34.07809005053511,-118.30119989733268,Subway,34.07591975980699,-118.3007763,Sandwich Place
47,Adams-Normandie,34.07809005053511,-118.30119989733268,Biergarten,34.07491659294925,-118.30888058919898,Beer Garden
48,Adams-Normandie,34.07809005053511,-118.30119989733268,Guadalupe's Place,34.083335,-118.30991499999999,Burrito Place
49,Adams-Normandie,34.07809005053511,-118.30119989733268,Melrose Hill,34.08415933574504,-118.30711026886526,Neighborhood
50,Adams-Normandie,34.07809005053511,-118.30119989733268,Boba Time,34.07388500074416,-118.30939040466347,Juice Bar
51,Adams-Normandie,34.07809005053511,-118.30119989733268,Thai Original BBQ & Restaurant,34.06933986535612,-118.30202227796904,Thai Restaurant
52,Adams-Normandie,34.07809005053511,-118.30119989733268,Tom N Toms Coffee,34.074115048672176,-118.30930231292494,Coffee Shop
53,Adams-Normandie,34.07809005053511,-118.30119989733268,FLEX Spas,34.083409,-118.29732,Spa
54,Adams-Normandie,34.07809005053511,-118.30119989733268,T-Mobile,34.07889361822018,-118.30936903543778,Mobile Phone Shop
55,Adams-Normandie,34.07809005053511,-118.30119989733268,Willie's Shoe Service,34.0760912,-118.3088468,Shoe Repair
56,Adams-Normandie,34.07809005053511,-118.30119989733268,U.S. Bank Branch,34.076039,-118.306972,Bank
57,Adams-Normandie,34.07809005053511,-118.30119989733268,Paper Tiger Bar,34.07615185764803,-118.30873050441564,Bar
58,Adams-Normandie,34.07809005053511,-118.30119989733268,Moon Daepo BBQ #2,34.07965030360828,-118.30871786522073,Korean Restaurant
59,Adams-Normandie,34.07809005053511,-118.30119989733268,Gracie's Pizza,34.08348926875936,-118.29520517482221,Pizza Place
60,Adams-Normandie,34.07809005053511,-118.30119989733268,Pho 2000,34.0750077808264,-118.30934682737755,Vietnamese Restaurant
61,Adams-Normandie,34.07809005053511,-118.30119989733268,7-Eleven,34.080085,-118.3095923,Convenience Store
62,Adams-Normandie,34.07809005053511,-118.30119989733268,Bangkok Market,34.08383789796203,-118.30422182438498,Grocery Store
63,Adams-Normandie,34.07809005053511,-118.30119989733268,Tturak 뜨락,34.073833860849874,-118.30954966330384,Korean Restaurant
64,Adams-Normandie,34.07809005053511,-118.30119989733268,Rincon Chileno,34.083526858243154,-118.29565249078172,Latin American Restaurant
65,Adams-Normandie,34.07809005053511,-118.30119989733268,Blipsy,34.077786603946734,-118.30928687266591,Bar
66,Adams-Normandie,34.07809005053511,-118.30119989733268,SUBWAY,34.07493705564884,-118.30952738165239,Sandwich Place
67,Adams-Normandie,34.07809005053511,-118.30119989733268,WINCHELL'S DONUT HOUSE,34.08408226718744,-118.30902946106977,Donut Shop
68,Adams-Normandie,34.07809005053511,-118.30119989733268,Enterprise Rent-A-Car,34.076091999999996,-118.308306,Rental Car Location
69,Adams-Normandie,34.07809005053511,-118.30119989733268,Studio Stage,34.080491762045405,-118.3091347759042,Theater
70,Adams-Normandie,34.07809005053511,-118.30119989733268,Denny's,34.07792730035055,-118.29128608520477,Breakfast Spot
71,Adams-Normandie,34.07809005053511,-118.30119989733268,Island Pacific Supermarket,34.08268601777977,-118.29215803304122,Grocery Store
72,Adams-Normandie,34.07809005053511,-118.30119989733268,Tasty House Seafood & BBQ,34.083438873291016,-118.30486297607422,Seafood Restaurant
73,Adams-Normandie,34.07809005053511,-118.30119989733268,Shell,34.07736200263742,-118.29188758450641,Gas Station
74,Adams-Normandie,34.07809005053511,-118.30119989733268,Aldine Books,34.083292,-118.295525,Bookstore
75,Adams-Normandie,34.07809005053511,-118.30119989733268,Templo Santa Muerte,34.083378,-118.307175,Pharmacy
76,Adams-Normandie,34.07809005053511,-118.30119989733268,Mary Jane's Melrose Holistic,34.083621606854976,-118.30707206569835,Pharmacy
77,Adams-Normandie,34.07809005053511,-118.30119989733268,Catalina Heights,34.07193826856719,-118.29570839414671,Plaza
78,Adams-Normandie,34.07809005053511,-118.30119989733268,MVT Couture,34.083403999999994,-118.29449299999999,Boutique
79,Adams-Normandie,34.07809005053511,-118.30119989733268,Hutch Vintage & Handmade,34.083868,-118.294899,Thrift / Vintage Store
80,Adams-Normandie,34.07809005053511,-118.30119989733268,Teletron,34.075382232666016,-118.29205322265625,Furniture / Home Store
81,Adams-Normandie,34.07809005053511,-118.30119989733268,El Taco Movil,34.06998450116672,-118.29888409815246,Food Truck
82,Adams-Normandie,34.07809005053511,-118.30119989733268,Liquor & Food Mart,34.076434756577164,-118.31124660913756,Liquor Store
83,Adams-Normandie,34.07809005053511,-118.30119989733268,Continental Bakery,34.069383,-118.29993799999998,Bakery
84,Adams-Normandie,34.07809005053511,-118.30119989733268,Vapor Bar,34.069302,-118.302081,Smoke Shop
85,Agoura Hills,34.14611000000008,-118.77811999999994,Future Track Running Center,34.145819388887766,-118.77925102204844,Sporting Goods Shop
86,Agoura Hills,34.14611000000008,-118.77811999999994,Twisted Oak Tavern,34.14530825744762,-118.77867876809528,Gastropub
87,Agoura Hills,34.14611000000008,-118.77811999999994,Grissini Ristorante,34.14581546694616,-118.77853444666275,Italian Restaurant
88,Agoura Hills,34.14611000000008,-118.77811999999994,Cafe Bizou,34.14841,-118.782587,French Restaurant
89,Agoura Hills,34.14611000000008,-118.77811999999994,Pizza Nosh,34.148310698389,-118.7821809583211,Pizza Place
90,Agoura Hills,34.14611000000008,-118.77811999999994,Forest Cove Park,34.15228998130039,-118.77474887315724,Park
91,Agoura Hills,34.14611000000008,-118.77811999999994,Reyes Adobe Park,34.15157598390574,-118.78224541643453,Park
92,Agoura Hills,34.14611000000008,-118.77811999999994,Reyes Adobe Cleaners,34.148239000000004,-118.78211399999999,Laundry Service
93,Agoura Hills,34.14611000000008,-118.77811999999994,Shell,34.145326509275186,-118.78078825732199,Gas Station
94,Agoura Hills,34.14611000000008,-118.77811999999994,Hampton Inn & Suites,34.14564839601866,-118.7823039775958,Hotel
95,Agoura Hills,34.14611000000008,-118.77811999999994,Agoura Hills Hand Car Wash,34.1481884,-118.781622,Car Wash
96,Agoura Hills,34.14611000000008,-118.77811999999994,Sheraton Gym,34.144530848225855,-118.77897248172559,Gym
97,Agoura Hills,34.14611000000008,-118.77811999999994,Rock Nation School,34.14581990862997,-118.77870432929473,General College & University
98,Agoura Hills,34.14611000000008,-118.77811999999994,Sheraton Agoura Hills Hotel,34.1443363,-118.7794874,Hotel
99,Agoura Hills,34.14611000000008,-118.77811999999994,Charm Thai Cuisine,34.14816665649414,-118.78218078613281,Thai Restaurant
100,Agoura Hills,34.14611000000008,-118.77811999999994,Naked Ramen,34.148031,-118.782556,Ramen Restaurant
101,Agoura Hills,34.14611000000008,-118.77811999999994,We Rock The Spectrum Kid's Gym,34.147972106933594,-118.78265380859375,Gym
102,Agua Dulce,34.495700000000056,-118.32620999999995,Maria Bonita Mexican Restaurant,34.49485764317302,-118.32672742352727,Mexican Restaurant
103,Agua Dulce,34.495700000000056,-118.32620999999995,Sweetwater Cafe,34.494830438379424,-118.32599746139506,Café
104,Agua Dulce,34.495700000000056,-118.32620999999995,Big Mouth Pizza,34.49496077832968,-118.32648141957574,Pizza Place
105,Agua Dulce,34.495700000000056,-118.32620999999995,Bullwinkels Gifts & Antiques,34.49466148142837,-118.3261927645152,Gift Shop
106,Agua Dulce,34.495700000000056,-118.32620999999995,Agua Dulce General Store,34.49622219917575,-118.32627267472662,Convenience Store
107,Agua Dulce,34.495700000000056,-118.32620999999995,Mon Ami Bakery,34.496139,-118.326422,Bakery
108,Agua Dulce,34.495700000000056,-118.32620999999995,Sweet Water Farms,34.49460221550264,-118.32688626971216,Grocery Store
109,Agua Dulce,34.495700000000056,-118.32620999999995,All Garage Door Repair Agua Dulce,34.495792,-118.335879,Home Service
110,Agua Dulce,34.495700000000056,-118.32620999999995,Vasquez Rocks Interpretive Center,34.48875070086596,-118.32136383461524,Park
111,Agua Dulce,34.495700000000056,-118.32620999999995,Hands On Water Damage,34.495425,-118.31558500000001,Business Service
112,Alhambra,34.09370000000007,-118.12726999999995,Blaze Pizza,34.09542,-118.125894,Pizza Place
113,Alhambra,34.09370000000007,-118.12726999999995,Sprouts Farmers Market,34.095288,-118.1250456,Grocery Store
114,Alhambra,34.09370000000007,-118.12726999999995,Borneo Kalimantan Cuisine,34.09481788466128,-118.12665890469869,Food
115,Alhambra,34.09370000000007,-118.12726999999995,Grill 'Em All,34.095595494314125,-118.12672491095267,Burger Joint
116,Alhambra,34.09370000000007,-118.12726999999995,85C Bakery Cafe,34.093411,-118.130214,Bakery
117,Alhambra,34.09370000000007,-118.12726999999995,Vino At Trio's,34.095144125279,-118.12809781844852,Wine Bar
118,Alhambra,34.09370000000007,-118.12726999999995,The Comic Cellar,34.094463338497256,-118.12875599312858,Bookstore
119,Alhambra,34.09370000000007,-118.12726999999995,Havana House Cigars & Lounge,34.094433738587654,-118.12874217367957,Lounge
120,Alhambra,34.09370000000007,-118.12726999999995,Alhambra Farmers Market,34.09338228581925,-118.1284490554344,Farmers Market
121,Alhambra,34.09370000000007,-118.12726999999995,Mahan Indian Restaurant,34.094432265272616,-118.128091164863,Indian Restaurant
122,Alhambra,34.09370000000007,-118.12726999999995,The Habit Burger Grill,34.09547,-118.125738,Burger Joint
123,Alhambra,34.09370000000007,-118.12726999999995,Thai Purple,34.09565686131706,-118.12736938663393,Thai Restaurant
124,Alhambra,34.09370000000007,-118.12726999999995,Gallery Nucleus,34.09598847009032,-118.12433045356221,Art Gallery
125,Alhambra,34.09370000000007,-118.12726999999995,JJ2 Bakery / Cafe,34.095478215744386,-118.12561417155952,Bakery
126,Alhambra,34.09370000000007,-118.12726999999995,Maido,34.095309870804705,-118.12541030522416,Stationery Store
127,Alhambra,34.09370000000007,-118.12726999999995,7 Leaves Cafe,34.096596933162324,-118.12813803368847,Café
128,Alhambra,34.09370000000007,-118.12726999999995,Dog Haus Biergarten,34.09693421555505,-118.12263965952457,Hot Dog Joint
129,Alhambra,34.09370000000007,-118.12726999999995,Bon Appétea,34.09390514156047,-118.12883201811508,Café
130,Alhambra,34.09370000000007,-118.12726999999995,Pepper Lunch,34.095000572101306,-118.12701003782234,Japanese Curry Restaurant
131,Alhambra,34.09370000000007,-118.12726999999995,Love Birds Cafe & Bakery,34.09430716778638,-118.12758729618075,Bakery
132,Alhambra,34.09370000000007,-118.12726999999995,38 Degrees Ale House and Grill,34.09451194107451,-118.12791235387867,Gastropub
133,Alhambra,34.09370000000007,-118.12726999999995,Lohas Fresh Mart,34.09331000717163,-118.13074001935033,Market
134,Alhambra,34.09370000000007,-118.12726999999995,The Boiling Crab,34.09498503557315,-118.12767061922133,Seafood Restaurant
135,Alhambra,34.09370000000007,-118.12726999999995,Starbucks,34.09477517879643,-118.12811283690583,Coffee Shop
136,Alhambra,34.09370000000007,-118.12726999999995,Five Below,34.09448415822225,-118.12575525766721,Discount Store
137,Alhambra,34.09370000000007,-118.12726999999995,Charlie's Trio Cafe,34.09483434646582,-118.12788653583483,Italian Restaurant
138,Alhambra,34.09370000000007,-118.12726999999995,Regal Edwards Alhambra Renaissance & IMAX,34.095904,-118.12699,Movie Theater
139,Alhambra,34.09370000000007,-118.12726999999995,NADI Myanmar Cafe,34.0933414308902,-118.1313877751635,Burmese Restaurant
140,Alhambra,34.09370000000007,-118.12726999999995,Arby's,34.0975333148145,-118.122502034548,Fast Food Restaurant
141,Alhambra,34.09370000000007,-118.12726999999995,Story Park,34.09966957376653,-118.12556895113578,Park
142,Alhambra,34.09370000000007,-118.12726999999995,Tomomi,34.095045518986986,-118.12737377131417,Sushi Restaurant
143,Alhambra,34.09370000000007,-118.12726999999995,M Juicery & Creamery,34.09471775722915,-118.12661026651627,Ice Cream Shop
144,Alhambra,34.09370000000007,-118.12726999999995,Diner on Main,34.09416750272647,-118.12927586662144,Diner
145,Alhambra,34.09370000000007,-118.12726999999995,Panasia Sweet and Savory,34.094225279857625,-118.12639820717067,Dessert Shop
146,Alhambra,34.09370000000007,-118.12726999999995,99 Ranch Market,34.097808286009034,-118.12353607543359,Market
147,Alhambra,34.09370000000007,-118.12726999999995,Wingstop,34.09528129078751,-118.12601205996349,Wings Joint
148,Alhambra,34.09370000000007,-118.12726999999995,Tasty Dumpling House,34.092108160172415,-118.13367580573085,Dumpling Restaurant
149,Alhambra,34.09370000000007,-118.12726999999995,Gen Korean BBQ House,34.09457460739772,-118.12787893317156,Korean Restaurant
150,Alhambra,34.09370000000007,-118.12726999999995,GameStop,34.097207917053325,-118.12303071219549,Video Game Store
151,Alhambra,34.09370000000007,-118.12726999999995,Lunasia Chinese Cuisine,34.09255615615788,-118.13234449181273,Dim Sum Restaurant
152,Alhambra,34.09370000000007,-118.12726999999995,AAA - Automobile Club of Southern California,34.09853194,-118.12305914,Insurance Office
153,Alhambra,34.09370000000007,-118.12726999999995,Burlington,34.09537450857361,-118.12533475194853,Department Store
154,Alhambra,34.09370000000007,-118.12726999999995,Saigon Eden,34.0947235672377,-118.12664230958741,Vietnamese Restaurant
155,Alhambra,34.09370000000007,-118.12726999999995,Bebe Fusion,34.09453393441504,-118.12316738354099,Asian Restaurant
156,Alhambra,34.09370000000007,-118.12726999999995,Bank of the West,34.0946736,-118.126218,Bank
157,Alhambra,34.09370000000007,-118.12726999999995,JuL•head,34.09464675096089,-118.12817053994645,Piercing Parlor
158,Alhambra,34.09370000000007,-118.12726999999995,Ice Que,34.093353,-118.13152,Ice Cream Shop
